,tweets,user_name,location,geo
93,"@dilippatel123 @iGopalShetty @DasShaktikanta @RBI @PMCBsh_acHforum @BJP4India @SMungantiwar Sir, humble request to… https://t.co/VenjaYZa0w",ManojOberoi3,,
94,@TaylorLorenz @davidgura You can't hide from covid-19. Just ask MLB.,pjkool,,
95,imagina ano que vem todo mundo q morreu de covid volta como zumbi,shadzxrp,ceu,
96,"This is proof it didn't have to be this way. This would have helped families, essential workers, healthcare workers… https://t.co/Dg9jT21uHk",jddchicago,"Chicago, IL",
97,I work at a covid testing site and we get covid then we don’t get paid off the days missed. First of all...I ain’t… https://t.co/gLFctZxQX6,DiamondBAshley,chicago shorty,
98,The Metro Atlantic Athletic Conference has decided to cancel fall sports competition because of continuing health a… https://t.co/skE0yUpAwm,RiderUniversity,"Lawrenceville, N.J.",
99,"If #COVID has taught me one thing, it's to love where you live and to not take what's on your door step for granted… https://t.co/FWdyezXt36",every_station,United Kingdom,
100,@wesbury @realDonaldTrump https://t.co/u9gz9JOiEd,jobsZeon69,German/British/Euro citizen ,
101,@BeccaismsDC I did have a salaried job w/ benefits but was laid off due to covid. agencies that were hiring were on… https://t.co/SWelw3xnj5,Amanda_R_Garcia,"California, USA",
102,¡MUY RARO! Diosdado Cabello no se ha reportado en 6 días desde que anunció su diagnóstico de covid-19… https://t.co/ZtYbHIIIBq,renovarpapeles,Barcelona,
103,"@ClBuckets honestly, from what you just said i realise now that i shouldn’t have said shit. i don’t know anyone per… https://t.co/lgDr3gHtT3",ionfuckwidit,jupiter,
104,"@tahuhdah @nkeegan @AineMcMahon @PA The article doesn't make any sense. Yes fat shaming is wrong, as is picking on… https://t.co/1TCQUx1zfz",Jack83596949,,
105,COVID-19 is transforming how companies use digital technology - The Hub at Johns Hopkins https://t.co/ZXpHTaNNKq… https://t.co/aIDyd1RjzJ,milocamj,"Cleveland, OH",
106,"India is rapidly approaching 400,000 COVID-19 cases, but has 'no community transmission' https://t.co/TlTaLkpNKL https://t.co/vnalff9pkH",RmanRussDen,"Aurora, Colorado",
107,Who had a flash from the past from the 2000 /2019 from childhood and from the good old days like and repost to show… https://t.co/wklzsaZ3e7,Shelly_pepsi,Ohio,
108,Cierran un Mayorista en San Martín y un bar en Guaymallén por casos positivos de Covid-19 https://t.co/Zfqugto4ot https://t.co/79vIDvLC9z,sitioandinomza,"Mendoza, Argentina",
109,ពលរដ្ឋ​អាមេរិកាំង​រង់ចាំ​កញ្ចប់​ថវិកា​ជំនួយ​ថ្មី ខណៈ​ករណី​ឆ្លង​ជំងឺ​កូវីដ១៩ បន្ដ​កើនឡើង https://t.co/aK88tEvdVt https://t.co/hOR787v4jc,voakhmer,"Phnom Penh, Cambodia",
110,30.000 voluntarios de EE UU comienzan a recibir la vacuna de Moderna contra la covid en su fase de pruebas https://t.co/AqELl7qGfx,AmerHoy,Sur de la Florida,
111,"My god ... @Kurkjian_ESPN, @HannahStormESPN, etc. clearly wanting the MLB season shut down now after the Marlins CO… https://t.co/aht8NFHLiQ",scottpuryear,,
112,"@DylanBresseyGP @bcshaffer Then why did your council take it upon yourself to close city owned faculties, playgroun… https://t.co/Rmx2rkF2hq",spencerbennett1,"Spruce Grove, Alberta",
113,"Κορονοϊός: Ακατάλληλη η χλωροκίνη για την αντιμετώπιση της Covid-19, σύμφωνα με νέα έρευνα https://t.co/ID8xJQ7YFo",taxispanos,Athens,
114,"Covid has power power, wonder working power. https://t.co/uRl1e1Euwn",lmckr,"Bedford Stuyvesant, Brooklyn",
115,#GracielaEnOnda conversa en #EnContexto sobre la situación del sector salud frente a la Covid-19. Nos acompaña Manu… https://t.co/fcnIXX2Rks,CircuitoOnda,Ccs 107.9 FM (+ 12 emisoras),
116,@2020_blows @peppertux @GovHolcomb @StateHealthIN My guess is that by nov 10th covid will be history.,Assetwrs,Stik,
117,Las 100 mascarillas que no protegen contra la Covid-19 | Salud https://t.co/TMadapJ8QR,AngelesArroyo,México,
118,"Can finally scratch ""Woman angrily claiming she doesn't need to wear a mask indoors because of a 'medical condition… https://t.co/yWzL9WYx5p",roberthamwriter,"Portland, OR",
119,@ArthurDelaneyHP @JStein_WaPo I love it except then no one would want to get tested or admit they have COVID.,tryptique,,
120,"BOCELLI PARLA ALLA CAMERA DEL SENATO SUL COVID-19
#CINEBOCELLI    CAMERA CON VISTA",jhon_frenc56,Piemonte  ( ma di Catania),
121,#wearyourmask #covid-19 https://t.co/hbAH69Vo6V,a_mancinirealty,"Long Branch, NJ",
122,Motín en cárcel de Bolivia tras muerte de presos sospechosos de tener Covid-19 https://t.co/6kSVt79Mwx,lafm,"Bogotá, Colombia",
123,"The first batch of gift cards went out today! This could have been you! 🤷🏽‍♀️ 

Don’t wait! Let @MetroMorphosis1 kn… https://t.co/hVLnszkq3u",frankieBRLA,,
124,Where can I get a free Covid test in Omaha?,anna__latch,"Nebraska, USA",
125,"Buena tarde Secretaria Aguirre, disculpe van a subir hoy  datos actualizados de Covid 19 de QRoo ? Gracias por su atención @SESA_QROO",bobsalca,Cancún,
126,Child hospitalizations from Covid-19 surge 23% in Florida as schools statewide must reopen https://t.co/ZDSLp3SeGV #SmartNews,fbenavides,"Aguascalientes, México",
127,"In the future, I believe this misbegotten episode regarding hydroxychloroquine will be studied by sociologists of m… https://t.co/kHsX8qSdMJ",ORConservative,Oregon,
128,Does this mean the covid payment wont be cut Mr. Burns? NOT. https://t.co/yeXf5tO3ma,JohnPaulMelady,Gibbstown ,
129,"só vejo defendendo a abertura desses estabelecimentos, as aglomerações, quem não perdeu ngm pra covid, estranho ne?",vitorjhordan,"São Luís, Brasil",
130,@IIIMattieBoz I died of covid.,mindfulmoon10,"California, USA",
131,"além da pandemia de covid estamos numa pandemia de ansiedade, é surreal o tanto de gente com crise e eu achava que era só eu",_marhyamoutinho,RJ,
132,"Murillo pide a líderes masistas no convocar a movilizaciones y dice que algunos tienen Covid-19
https://t.co/ty3t0QjVJz",BrujulaNoticias,,
133,@bakersfieldnow Covid backfiring on Newsom. It’s killing all his cdc kids.,Fattiresrock,,
134,Encontro casual no corredor com vizinha viúva de milico e bolsonarista. Disse-me que a médica garantiu que a Covid… https://t.co/Do0yobmOUU,marthaesteves,Cidade Maravilhosa,
135,"Mi abuelita desde antes de acabara el 2019 se había ido con su hija a Cuernavaca, luego se fue con su otra hija a P… https://t.co/TloLtbbpzg",sayedmanjarrez_,"Culiacán, Sinaloa",
136,"@jrsestaca @lopezobrador_ Que importa ese avión, el COVID, inundaciones, muertos, desempleo y una pésima economía!!!!",LuisaBo05012040,,
137,Toda acción tiene su reacción. No sólo es el COVID-19 incontrolado en varias regiones españolas sino también la reu… https://t.co/ePF354wqIB,imma38ds,Deutschland,
138,"49 pang kaso ng COVID-19, napaulat sa Western Visayas https://t.co/NLB33tY9QR",dzIQ990,Makati City,
139,@DiscipleX1 @MAJTOURE Yeah the goodwill with cops has gone tremendously for me with COVID and the brutality that is going on,OLRiveraUSMC,,
140,The new rapid Covid-19 antigen tests being sent to thousands of U.S. nursing homes in high-infection areas have a t… https://t.co/JPg2e0vybk,BLaw,"Arlington, VA",
141,"The Federal Government, on Monday, said it was working with the Aviation Sector to fasttrack the reopening of the i… https://t.co/psHlqFkU4N",daily_trust,"Abuja, Nigeria",
142,Exalcalde de Manizales Octavio Cardona (@jcardonaleon) da negativo en prueba de covid-19 https://t.co/pv72GRvdyi vía @lapatriacom,lapatriacom,"Manizales, Colombia",
143,"So far the messages about Covid-19 from our new Government have been weak, confusing and fading into the distance..… https://t.co/2GBEaE4Oh8",SuzanneCurtin3,Dublin,
