,tweets,user_name,location,geo,ftokens,lemma
39, Absolute BS Hcq HCQW0RKS Hydroxychloroquine prevents amp Cures Corona COVID19  but the media MSM amp… ,Hansumhoggie,"Birstall, Leicestershire",,"['absolute', 'bs', 'hcq', 'hcqw0rks', 'hydroxychloroquine', 'prevents', 'amp', 'cures', 'corona', 'covid19', 'media', 'msm', 'amp…']","['absolute', 'b', 'hcq', 'hcqw0rks', 'hydroxychloroquine', 'prevents', 'amp', 'cure', 'corona', 'covid19', 'medium', 'msm', 'amp…']"
40, The covid fraud and all the governorsmayors imposing draconian controls over their people This h… ,DJPatriot6,,,"['covid', 'fraud', 'governorsmayors', 'imposing', 'draconian', 'controls', 'people', 'h…']","['covid', 'fraud', 'governorsmayors', 'impose', 'draconian', 'control', 'people', 'h…']"
41,     Chances are you’ll be fine   This article came o… ,dr__Pepe__,United States,,"['chances', '’', 'fine', 'article', 'came', 'o…']","['chance', '’', 'fine', 'article', 'come', 'o…']"
42,COVID19 Churches Mosques To Reopen in Ogun August 14 –Dapo Abiodun ,DailyBellsNG,"Victoria Island, Nigeria",,"['covid19', 'churches', 'mosques', 'reopen', 'ogun', 'august', '14', '–dapo', 'abiodun']","['covid19', 'church', 'mosque', 'reopen', 'ogun', 'august', '14', '–dapo', 'abiodun']"
43, Anyone can get away with anything in Covidspeeding camera trap You’re an essential worker — Covi… ,AWhiteGuy4,,,"['anyone', 'get', 'away', 'anything', 'covidspeeding', 'camera', 'trap', '’', 'essential', 'worker', '—', 'covi…']","['anyone', 'get', 'away', 'anything', 'covidspeeding', 'camera', 'trap', '’', 'essential', 'worker', '—', 'covi…']"
44,SCI With human life expectancy probably declining because of COVID19 this may be the stock to buy ,StevenPGregory1,"Alabama, USA",,"['sci', 'human', 'life', 'expectancy', 'probably', 'declining', 'covid19', 'may', 'stock', 'buy']","['sci', 'human', 'life', 'expectancy', 'probably', 'decline', 'covid19', 'may', 'stock', 'buy']"
45,COVID19 Churches Mosques To Reopen in Ogun August 14 –Dapo Abiodun ,MEGACROWN,Lagos,,"['covid19', 'churches', 'mosques', 'reopen', 'ogun', 'august', '14', '–dapo', 'abiodun']","['covid19', 'church', 'mosque', 'reopen', 'ogun', 'august', '14', '–dapo', 'abiodun']"
46, Look if theres a chance of dream demon sex giving me COVID I have to pass,yesido84,"Twin Cities, MN",,"['look', 'theres', 'chance', 'dream', 'demon', 'sex', 'giving', 'covid', 'pass']","['look', 'there', 'chance', 'dream', 'demon', 'sex', 'give', 'covid', 'pas']"
47,   And unfortunately one that my admin among others seems to ignore Im watc… ,princesswitch4,,,"['unfortunately', 'one', 'admin', 'among', 'others', 'seems', 'ignore', 'im', 'watc…']","['unfortunately', 'one', 'admin', 'among', 'others', 'seem', 'ignore', 'im', 'watc…']"
48,To learn more about the district’s four instructional models available to you read the Reopening Toolkit and revie… ,VillasElem,"Fort Myers, Florida",,"['learn', 'district', '’', 'four', 'instructional', 'models', 'available', 'read', 'reopening', 'toolkit', 'revie…']","['learn', 'district', '’', 'four', 'instructional', 'model', 'available', 'read', 'reopen', 'toolkit', 'revie…']"
49,   A person was killed by a shark  you put Covid in there for your political r… ,SRtwofourfour,southa 50,,"['person', 'killed', 'shark', 'put', 'covid', 'political', 'r…']","['person', 'kill', 'shark', 'put', 'covid', 'political', 'r…']"
