,tweets,user_name,location,geo
154,"COVID-19 Making Existing Matters Worse for Smallholder Farmers, HRNS Study Finds https://t.co/fAKPGGolXJ https://t.co/bwxWIgpvLz",BigCoffeeTrader,"City of London, London",
155,My ex sister in law tested positive.  Although her and my brother are divorced they are still close and she is stil… https://t.co/jyXv0teWnS,portdauphin,"Gulf Coast, US",
156,"Calculated Risk -- July 29 COVID-19 Test Results: Note: California is still having a data problem today, so the cas… https://t.co/nFpqAHbs0a",GReaderTweets,,
157,Re: Coronavirus (COVID-19) Updates https://t.co/hZr0E9Jqim,railbotforum,Brisbane,
158,"(1/2) Click the link in our bio to read the full article written by @Yale epidemiology professor, Dr. Harvey Risch,… https://t.co/3f3VOYtxtz",loveoflibertea,United States,
159,Covid-19 and could be at risk of death or severe damage to their quality of life. To the people who are wearing a m… https://t.co/l7Wcm0v9D4,Ej_bapeh00die,Infiltrating the furrys base ,
160,"#HCQCURES 
#Zinc
Now that we have a cure (have had it all along, no one needed to die) &amp; a prevention drug for covi… https://t.co/3z8QnVKbNv",carolroberts67,"Colorado, USA",
161,"Next on the SNP death list...

Don't test anyone. They can't die from Covid. https://t.co/XTmuqnFHOY https://t.co/bTJpyINVrD",Ross_M_16,"Glasgow, Scotland",
162,"*UPDATE*

Koreatown siblings lose both parents and grandparents to COVID-19. https://t.co/ZLrzEJF1LD https://t.co/5bSPONyYyO",KNX1070,Los Angeles,
163,"A new study from the @CDCgov shows the impact #COVID19 has had on Americans with underlying health conditions, incl… https://t.co/XI6odGuZcm",HeartFlow,"Redwood City, CA",
164,@KateMilford My first post-COVID journey will be a Triple D style exploration of all the pancakeries (definitely a word) on Pancake Row.,AlliHolstrom,"Arnold, MD",
165,@drsimonegold People talk about side effect..well if you have covid-19 and your dying who the hell cares about side… https://t.co/qD7XqWJiNM,DePatriot451,,
166,"@replouiegohmert Bless your little heart?  Got Covid?  Like your staff, I’ll be secretly rooting for the virus.",NedFlanders2019,"Washington, DC",
167,"For retweeting that doctor D-truck was saying was so spectacular she spreads covid-19 miss information 
Twitter Sus… https://t.co/zyWJMtWMDC",WestergrenJon,,
